date,temperature,humidity,rainfall
05/17/2023,32.9,69,13.4
05/18/2023,34.2,66,12.2
05/19/2023,32.2,70,10.5
05/20/2023,31.2,82,11.2
05/21/2023,26,61,8.1
05/22/2023,31.5,80,11.5
05/23/2023,33.2,65,10.6
05/24/2023,26.2,58,9.6
05/25/2023,31.5,84,12.7
05/26/2023,24.5,85,3.9
05/27/2023,26,77,1
05/28/2023,33.5,73,14.3
05/29/2023,30.2,54,7.6
05/30/2023,29.3,67,11
05/31/2023,30.6,72,10.4
06/01/2023,28.1,79,19.3
06/02/2023,22.8,79,2.6
06/03/2023,25.7,72,5.2
06/04/2023,24.4,69,11.5
06/05/2023,24.3,85,18.9
06/06/2023,28.7,67,3.1
06/07/2023,32.7,63,1.1
06/08/2023,30.8,65,13.1
06/09/2023,23.7,87,17.9
06/10/2023,34.6,55,14.9
06/11/2023,29.4,80,18.5
06/12/2023,30.7,78,12.1
06/13/2023,22.1,67,15.6
06/14/2023,30.8,63,4.9
06/15/2023,32.9,73,15.6
06/16/2023,21.1,75,13.3
06/17/2023,33.4,76,10.3
06/18/2023,27.2,77,2.6
06/19/2023,31.6,68,11.3
06/20/2023,33.4,62,3.3
06/21/2023,31.7,66,11.9
06/22/2023,28.7,85,3.1
06/23/2023,34.3,50,9.4
06/24/2023,21.9,67,12.6
06/25/2023,20.5,68,0.5
06/26/2023,30,59,15.5
06/27/2023,31.5,77,13.3
06/28/2023,31.4,87,13.8
06/29/2023,24.2,65,6.1
06/30/2023,23.2,53,4.3
07/01/2023,25.9,80,1.8
07/02/2023,29.6,78,0.4
07/03/2023,29.1,90,5.9
07/04/2023,33.9,54,15.6
07/05/2023,21,64,14
07/06/2023,22.3,71,6.3
07/07/2023,30.1,60,1.4
07/08/2023,30.4,85,13.5
07/09/2023,24.9,58,8.5
07/10/2023,23.2,54,19.4
07/11/2023,23,63,11.6
07/12/2023,22.7,73,18.1
07/13/2023,24.7,51,5.2
07/14/2023,25.8,77,12.5
07/15/2023,27.6,83,15.5
07/16/2023,30.5,85,19.2
07/17/2023,20.8,52,0.5
07/18/2023,27.5,51,16.3
07/19/2023,23.2,72,3.1
07/20/2023,22.2,88,15
07/21/2023,33.4,59,12.7
07/22/2023,26.4,62,13.6
07/23/2023,23.7,51,14.9
07/24/2023,35,90,12.3
07/25/2023,34.4,58,16
07/26/2023,20.3,64,15.7
07/27/2023,20.9,72,15.6
07/28/2023,27.2,84,4.9
07/29/2023,33,87,15
07/30/2023,29.6,72,6.2
07/31/2023,22.3,50,9.8
08/01/2023,22.5,53,4.1
08/02/2023,31.8,81,3.7
08/03/2023,26,75,4.2
08/04/2023,33.4,78,10.4
08/05/2023,32.4,78,12.4
08/06/2023,32.6,87,15.7
08/07/2023,22.7,79,4.4
08/08/2023,24.4,84,2.7
08/09/2023,22.1,69,17.7
08/10/2023,30.4,62,11.4
08/11/2023,25.3,61,3
08/12/2023,23.9,55,1.9
08/13/2023,24.8,68,5.5
08/14/2023,26.8,51,7.7
08/15/2023,22.9,52,11.2
08/16/2023,33.6,86,11.1
08/17/2023,30.5,90,4.7
08/18/2023,24.3,51,18.1
08/19/2023,26.3,56,11.4
08/20/2023,31.2,57,0.2
08/21/2023,33.3,73,13.2
08/22/2023,27.4,59,2.3
08/23/2023,25.7,75,12.5
08/24/2023,28.2,52,5
08/25/2023,29.7,74,13.5
08/26/2023,33.8,73,16.9
08/27/2023,32.9,62,13
08/28/2023,29.5,56,17.6
08/29/2023,31.5,88,2.2
08/30/2023,20.8,79,16
08/31/2023,35,83,19.1
09/01/2023,21.8,56,0.8
09/02/2023,29.4,61,13.7
09/03/2023,27.6,68,5.1
09/04/2023,26.5,54,11.2
09/05/2023,31.7,68,5.1
09/06/2023,30.6,75,0.7
09/07/2023,26.9,62,16.7
09/08/2023,24.4,52,14.4
09/09/2023,23,86,13.8
09/10/2023,23.7,80,4.9
09/11/2023,23.1,62,6.8
09/12/2023,20.2,54,16.5
09/13/2023,20.4,68,4.4
09/14/2023,25.5,88,2.6
09/15/2023,34.4,56,1.4
09/16/2023,20.2,56,17.4
09/17/2023,25.7,69,18.6
09/18/2023,25,79,9.3
09/19/2023,24.9,61,16.3
09/20/2023,29.6,56,5.7
09/21/2023,25,88,8.5
09/22/2023,23.2,81,11
09/23/2023,34.3,66,5.8
09/24/2023,20.3,53,13.4
09/25/2023,24.8,88,12.8
09/26/2023,26.1,88,7.5
09/27/2023,27.9,75,5.7
09/28/2023,21.7,89,14.4
09/29/2023,20.2,81,17.2
09/30/2023,34,58,9.2
10/01/2023,22.2,56,12.9
10/02/2023,26.6,60,4.9
10/03/2023,34.2,84,3.5
10/04/2023,23.9,58,0.3
10/05/2023,25.1,83,9.6
10/06/2023,25,66,0.2
10/07/2023,26.8,70,16.1
10/08/2023,23.4,90,18.3
10/09/2023,26.3,63,7.5
10/10/2023,22.5,73,7.4
10/11/2023,30.7,71,9.8
10/12/2023,33.5,57,4.3
10/13/2023,33.9,51,8
10/14/2023,35,54,9
10/15/2023,23.6,63,13.6
10/16/2023,34.6,81,3.5
10/17/2023,20.9,50,10.3
10/18/2023,23.8,63,16.8
10/19/2023,29.6,84,6.4
10/20/2023,27.9,74,5.9
10/21/2023,28.8,69,7.7
10/22/2023,33.8,86,10.1
10/23/2023,31.7,86,0.3
10/24/2023,34.7,52,14
10/25/2023,22.1,81,13
10/26/2023,31.6,62,3
10/27/2023,26.6,59,1.5
10/28/2023,31.9,57,13.8
10/29/2023,21.3,90,17.1
10/30/2023,34.5,55,17.2
10/31/2023,33.3,82,16.4
11/01/2023,30.4,64,19.9
11/02/2023,26.6,65,4.4
11/03/2023,24.8,65,11
11/04/2023,33.4,67,3.3
11/05/2023,31.2,72,0.9
11/06/2023,26.6,73,5.9
11/07/2023,23.2,72,19.2
11/08/2023,32.8,85,1.6
11/09/2023,34.3,63,3.7
11/10/2023,23.4,53,7
11/11/2023,26.4,55,6.1
11/12/2023,22.2,52,4
11/13/2023,27.7,74,2
11/14/2023,21.6,61,1
11/15/2023,22.2,81,17
11/16/2023,24.7,65,17.9
11/17/2023,34.4,50,11.3
11/18/2023,23.8,52,14.3
11/19/2023,31.5,87,19
11/20/2023,30.7,50,15.8
11/21/2023,29.1,90,18.6
11/22/2023,34.2,76,12.9
11/23/2023,22,66,17.3
11/24/2023,21.8,62,15.9
11/25/2023,27,51,4
11/26/2023,27.9,82,18.3
11/27/2023,29.4,66,10.4
11/28/2023,21.3,82,13.7
11/29/2023,34.2,78,8.6
11/30/2023,26.7,60,2.9
12/01/2023,29.5,78,12.3
12/02/2023,30.1,54,7.6
12/03/2023,22.3,76,10.2
12/04/2023,24.1,62,5.7
12/05/2023,33.2,55,17.3
12/06/2023,25.7,68,10.9
12/07/2023,24.6,86,8
12/08/2023,27.3,57,9
12/09/2023,20.3,65,12.6
12/10/2023,28.3,81,18.4
12/11/2023,20.7,86,7.4
12/12/2023,33.2,88,7.9
12/13/2023,26.1,50,2.5
12/14/2023,24.2,84,5.6
12/15/2023,28.5,80,3.9
12/16/2023,22.5,53,0.3
12/17/2023,29.9,73,14.7
12/18/2023,21.6,85,14.7
12/19/2023,27.6,77,18.3
12/20/2023,27.9,64,3.6
12/21/2023,32.8,89,6.6
12/22/2023,27.6,60,11.7
12/23/2023,33.5,60,13.8
12/24/2023,23.5,66,13.8
12/25/2023,23,67,18.4
12/26/2023,23,53,0.5
12/27/2023,30.4,56,1.3
12/28/2023,34.8,64,18.7
12/29/2023,23,52,13.4
12/30/2023,20.3,85,3.2
12/31/2023,26,68,16.3
